id,kaz_text,kaz_url,kaz_domain,kaz_topic,kaz_has_image,kaz_has_hyperlink,kaz_split,rus_text,rus_url,rus_domain,rus_topic,rus_has_image,rus_has_hyperlink,rus_split,eng_text,eng_url,eng_domain,eng_topic,eng_has_image,eng_has_hyperlink,eng_split,cmn_text,cmn_url,cmn_domain,cmn_topic,cmn_has_image,cmn_has_hyperlink,cmn_split
10,"Шамамен 11:29-да, ереуіл Уайтхоллдан жоғары қарай, Трафальгар алаңы арқылы, Стрэнд көшесінің бойымен, Алдвич көшесінен өтті және Кингсвейден Холборнға қарай қозғалды. Бұл жерде Консерваторлар партиясы Grand Connaught Rooms қонақүйінде көктемгі форумын өткізіп жатқан еді.",https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,"Около 11:29 протестующие двинулись вверх по Уайтхолл, мимо Трафальгарской площади, вдоль Стрэнда, мимо Олдвича и вверх по Кингсуэй в сторону района Холборн, где Консервативная партия проводила свой Весенний форум в гостинице Grand Connaught Rooms.",https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev,11 点 29 分左右，抗议人群向前行进至白厅，经过特拉法尔加广场、斯特兰德大街、奥德维奇、京士威，向霍尔本行进，保守党正在当地的 Grand Connaught Rooms 酒店举行春季论坛。,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,wikinews,politics,yes,yes,dev
11,Надальдың канадалықтармен кездесуіндегі рекорды — 7-2.,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,Рекорд Надала в схватках один на один с канадцем —  7–2.,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,Nadal's head to head record against the Canadian is 7–2.,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,纳达尔（Nadal）与加拿大人的交手记录是 7-2。,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev
12,Ол жақында Brisbane Open турнирінде Раоникке ұтылды.,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,Недавно он проиграл Раоничу на турнире в Брисбене.,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,He recently lost against Raonic in the Brisbane Open.,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,不久前，他在布里斯班公开赛上败于拉奥尼奇。,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev
13,"Надаль ойында таза 88% ұпай алды, оның 76 ұпайын берісте-ақ жеңіп алды.",https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,"Надал набрал 88% всех очков в матче, выиграв 76 очков  в первой подаче.",https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,Nadal bagged 88% net points in the match winning 76 points in the first serve.,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,纳达尔（Nadal ）在比赛中把 88% 的净胜分收入囊中，在第一个发球局赢得 76 分。,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev
14,Матчтан кейін Рафаэль Надаль былай деді: «Мен ең маңызды оқиғалардың соңғы раундтарында оралғаныма қуаныштымын. Мен мұнда жеңіп көруге әрекеттену үшін келдім».,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,"После матча ""Король грунта"" сказал: ""Я так рад, что вернусь в финальные раунды самых важных мероприятий. Я здесь, чтобы попытаться выиграть"".",https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev,赛后，红土之王拉斐尔·纳达尔称：“我很开心重返能这项重大赛事的决赛，我会尽全力争取夺冠。”,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,wikinews,sports,yes,no,dev
15,«Панамалық досье» Mossack Fonseca дегене панамалық заңгерлік фирманың шамамен он миллион құжатына арналған жалпылама термин. Бұл құжаттар 2018 жылдың көктем айында баспасөзге жылыстаған.,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,"""Панамские документы"" — это собирательное название приблизительно десяти миллионов документов панамской юридической фирмы Mossack Fonseca, просочившихся в прессу весной 2016 г.",https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.",https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,"“巴拿马文件” 是巴拿马莫萨克·冯塞卡律师事务所 (Mossack Fonseca) 约 1,000 万份文件的总称，这些文件在 2016 年春季被爆料给媒体。",https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev
16,"Құжаттарда көрсетілгендей, он төрт банк бай клиенттерге салықтар мен басқа ережелерден аулақ болу үшін миллиардтаған долларлық байлықты жасыруға көмектесті.",https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,"Документы показали, что четырнадцать банков помогли состоятельным клиентам спрятать миллиарды долларов США, чтобы избежать уплаты налогов и выполнения прочих нормативных требований.",https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,文件显示，十四家银行帮助富有的客户隐藏了数十亿美元的财富来逃避税收和其它监管。,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev
17,The Guardian деген британдық газет мынадай болжам жасады: бұған қол жеткізу үшін Deutsche Bank банкі 1200 жалған компанияның шамамен үштен бір бөлігін басқарған.,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,"Британская газета The Guardian  предположила, что Deutsche Bank контролировал примерно треть из 1200 подставных компаний, использованных для этой цели.",https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,英国《卫报》指出，在用于实现这一目标的 1200 家空壳公司中，德意志银行控制了大约三分之一。,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev
18,"Бүкіл әлемде наразылықтар болды, бірнеше қылмыстық қудалау болды, Исландия мен Пәкістан екеуінің де үкімет басшылары отставкаға кетті.",https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,"По всему миру происходили протесты, было несколько уголовных преследований, а главы правительств Исландии и Пакистана ушли в отставку.",https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev,世界各地都发生了抗议活动，有几起刑事诉讼，冰岛和巴基斯坦政府的领导人都辞职了。,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,wikinews,crime,no,yes,dev
19,Гонконгта туылған Ма Нью-Йорк университетінде және Гарвард бизнес мектебінде оқыды және бір кезде американдық тұрақты резиденттің «гринкартасына» ие болған.,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev,"Ма родился в Гонконге, учился в Нью-Йоркском университете и Гарвардской юридической школе. Он также когда-то имел постоянный вид на жительство в Америке (""грин-карту"").",https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".",https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev,马生于香港，曾就读于纽约大学和哈佛大学法学院，还一度持有美国永久居民身份证“绿卡”。,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev
20,Се сайлау кезінде Ма дағдарыс уақытында елден қашып кетуі мүмкін деп тұспалдады.,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev,"Во время проведения выборов Се намекал, что Ма может покинуть страну в случае кризиса.",https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev,Hsieh implied during the election that Ma might flee the country during a time of crisis.,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev,谢长廷在选举期间暗示，马英九在遇到危机时可能会逃离台湾。,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev
21,"Сондай-ақ Сеның айтуынша Ма суретке әдемі түскенімен, шынайы құндылыққа ие емес.",https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev,"Се также утверждал, что фотогеничный Ма больше выделялся внешностью, чем харизмой.",https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev,Hsieh also argued that the photogenic Ma was more style than substance.,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev,谢长廷还声称马英九虽然很上镜，但中看不中用。,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,Politics and conflicts,yes,yes,dev
22,"Осы айыптауларға қарамастан, Ма Қытай материк бөлігімен тығыз байланысты жақтайтын платформада жеңіл түрде жеңіске жетті.",https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,,yes,yes,dev,"Несмотря на эти обвинения, Ма легко победил, выступая за более тесные связи с материковой частью Китая.",https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,,yes,yes,dev,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,,yes,yes,dev,尽管受到这些指责，马英九在一次演讲中主张与中国大陆建立更加紧密的联系，并轻松获胜。,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,wikinews,,yes,yes,dev
23,Бүгінгі Күн ойыншысы — Washington Capitals командасындағы Алекс Овечкин.,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,Сегодняшний игрок дня — Алекс Овечкин из Washington Capitals.,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,今日最佳选手是来自华盛顿首都队的亚历克斯·奥韦奇金。,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev
24,Washington командасының Atlanta Thrashers командасын 5:3 есебімен жеңуінде ол 2 гол соқты және 2 пас берді.,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,"У него было 2 гола и 2 передачи в матче футбольного клуба ""Вашингтон"" против ""Атланта Трэшерз"", в котором первый одержал победу со счётом 5-3.","https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,在华盛顿队以 5-3 的比分战胜亚特兰大鸫鸟队的比赛中，他贡献了 2 个进球和 2 次助攻。,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev
25,Матчтағы Овечкиннің бірінші нәтижелі пасы арқылы Никлас Бэкстром жеңіс голын соқты;,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,"Первая голевая передача Овечкина в тот вечер принесла команде победный гол, выполненный новичком Никласом Бекстрёмом;","https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,奥韦奇金（Ovechkin）当晚的第一个助攻，来自新秀尼克拉斯·贝克斯特伦 (Nicklas Backstrom) 的制胜一球;,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev
26,"Кештің екінші голы оның маусымның 60-шы голы болды, ол 1995-96 жылдары Жаромир Ягр мен Марио Лемие әрқайсысы 60 немесе одан көп гол соққаннан кейін осы нәтижеге қол жеткізген алғашқы ойыншы болды.","https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,"Его второй целью в этот вечер был его 60-й гол в сезоне, в результате чего он становился первым игроком забившим 60 или больше голов в сезоне с 1995-96 гг., когда Джаромир Джагр  и Марио Лемьо оба добились этого достижения.","https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev,他当晚的第二个进球是他本赛季的第60个进球，成为自1995-96赛季以来首位在一个赛季中打进60个或更多进球的球员——在1995-96赛季，亚罗米尔·雅格和马里奥·拉缪都达到了这一里程碑。,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",wikinews,sports,no,yes,dev
